dosen,scholar_id,title,authors,journal,year,citations,link
Endryansyah,9BWyE0UAAAAJ,Development of Servo Motor Trainer for Basic Control System in Laboratory of Electrical Engineering Control System Faculty of Engineering Universitas Negeri Surabaya,"PW Rusimamto, A Ridianto, H Sugiarto","IOP Conference Series: Materials Science and Engineering 336 (1), 012033, 2018",2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:2osOgNQ5qMEC
Endryansyah,9BWyE0UAAAAJ,Penggunaan Trainer Motor Servo Dalam Praktikum Mata Kuliah Dasar Sistem Pengaturan Di Laboratorium Sistem Kendali Teknik Elektro Unesa,PW RUSIMANTO,"Prosiding Semnas PPM 2018 1 (1), 288-304, 2018",2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:TFP_iSt0sucC
Endryansyah,9BWyE0UAAAAJ,DESAIN SISTEM PENGATURAN POSISI SUDUT AERO PENDULUM BERBASIS FUZZY LOGIC CONTROLLER DENGAN SOFTWARE LABVIEW: DESAIN SISTEM PENGATURAN POSISI SUDUT AERO PENDULUM BERBASIS FUZZY …,"F Baskoro, FA Kurniawan","Jurnal Teknik Elektro 9 (3), 2020",2020,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:TQgYirikUcIC
Endryansyah,9BWyE0UAAAAJ,Analisis Penggunaan Alat Pengatur Kecepatan Motor Ac Satu Phase Menggunakan Bidirectional Triode Thytistor (TRIAC),"F Baskoro, MI Taufiqi, PW Rusimamto, F Achmad","JURNAL TEKNIK ELEKTRO 10 (2), 315-323, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:r0BpntZqJG4C
Miftahur Rohman,TB0QfMoAAAAJ,Analysis of Motion Detection System Sensitivity with Light Intensity,"F Baskoro, B Suprianto, AB Pratiwi, L Anifah, AP Nurdiansyah, M Rohman","2021 Fourth International Conference on Vocational Education and Electrical …, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TB0QfMoAAAAJ&pagesize=100&citation_for_view=TB0QfMoAAAAJ:9yKSN-GCB0IC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Mengembangkan Chatbot Empatik untuk Dukungan Kesehatan Mental: Solusi Inovatif dalam Pendampingan Psikologis,"CD Putra, RAS Prayoga, M Cinthya, R Basatha, MS Akbar, EA Elfaiz","Jurnal Ilmu Komputer dan Multimedia 1 (2), 7-12, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:9ZlFYXVOiuMC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Analisa Layanan pada Aplikasi Kesehatan dengan Framework ITIL V3 Domain Service Operation dan Standar SKM (Studi Kasus: Puskesmas Klampis),"AS Azhar, RAS Prayoga, MI Alhari","JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika) 10 (1), 699-710, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:QIV2ME_5wuYC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Comparison of Machine Learning Methods for Air Quality Prediction Based on Particulate Matter (PM2. 5),"F Mar'i, S Marianingsih, R Abdillah, EA Elfaiz, RAS Prayoga, M Fahmi","2025 International Conference on Advancement in Data Science, E-learning and …, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:ZeXyd9-uunAC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Analisis Sentimen Performansi Operator Telekomunikasi di Indonesia Menggunakan Metode Text Mining,"EA Elfaiz, RAS Prayoga, M Cinthya, MS Akbar, R Basatha","SATESI: Jurnal Sains Teknologi dan Sistem Informasi 5 (1), 14-22, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:IWHjjKOFINEC
Martini Dwi Endah Susanti,q24bD6AAAAAJ,Segmentasi Citra Sel Tunggal Smear Serviks Menggunakan Metode Radiating Normally Biased Generalized Gradient Vector Flow Snake,"MDE Susanti, H Tjandrasa, C Fatichah","JUTI: Jurnal Ilmiah Teknologi Informasi, 181-191, 2018",2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q24bD6AAAAAJ&pagesize=100&citation_for_view=q24bD6AAAAAJ:u5HHmVD_uO8C
Muhammad Sonhaji Akbar,cY1QGVEAAAAJ,Mengembangkan Chatbot Empatik untuk Dukungan Kesehatan Mental: Solusi Inovatif dalam Pendampingan Psikologis,"CD Putra, RAS Prayoga, M Cinthya, R Basatha, MS Akbar, EA Elfaiz","Jurnal Ilmu Komputer dan Multimedia 1 (2), 7-12, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cY1QGVEAAAAJ&pagesize=100&citation_for_view=cY1QGVEAAAAJ:4n0clTBhZ78C
Muhammad Sonhaji Akbar,cY1QGVEAAAAJ,Penerapan Data Mining untuk Peminjaman Buku dengan Menggunakan Algoritma Apriori,"RA PRAYOGA, R Basatha, MS Akbar, EA Elfaiz, CD Putra","Jurnal Ilmu Komputer dan Multimedia 1 (2), 1-6, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cY1QGVEAAAAJ&pagesize=100&citation_for_view=cY1QGVEAAAAJ:ukw-9cB-YDkC
Muhammad Sonhaji Akbar,cY1QGVEAAAAJ,SISTEM PENDIDIKAN DI INDONESIA,"A Sutiapermana, M Ud, NA Susanti, MS Akbar, M Kom, G Nurpribadi, ...","Cendikia Mulia Mandiri, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cY1QGVEAAAAJ&pagesize=100&citation_for_view=cY1QGVEAAAAJ:MDX3w3dAD3YC
Muhammad Sonhaji Akbar,cY1QGVEAAAAJ,Analisis Sentimen Performansi Operator Telekomunikasi di Indonesia Menggunakan Metode Text Mining,"EA Elfaiz, RAS Prayoga, M Cinthya, MS Akbar, R Basatha","SATESI: Jurnal Sains Teknologi dan Sistem Informasi 5 (1), 14-22, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cY1QGVEAAAAJ&pagesize=100&citation_for_view=cY1QGVEAAAAJ:lK9BDNCuzFgC
Endryansyah,9BWyE0UAAAAJ,Endryansyah. 2014. Pengaruh penggunaan pendekatan ilmiah (scientific approach) dalam pembelajaran terhadap hasil belajar siswa Kelas XII SMK Negeri 7 Surabaya pada standar …,N Hidayanti,"Jurnal Pendidikan Teknik Elektro 3 (1), 28-35, 0",,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:Y0pCki6q_DkC
Endryansyah,9BWyE0UAAAAJ,PENGEMBANGAN MODUL PEMBELAJARAN PROGRAMMABLE LOGIC CONTROLER MITSUBISHI PADA MATA PELAJARAN SISTEM KONTROL OTOMATIK DI SMK NEGERI 1 LAMONGAN,"WD Prastyo, B Suprianto, PW Rusmimamto",,,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:fQNAKQ3IYiAC
Endryansyah,9BWyE0UAAAAJ,Pengembangan Modul Pembelajaran Praktikum Sistem Pengaturan Proportional Integral Derivative (PID) di Jurusan Teknik Elektro Universitas Negeri Surabaya,"E Santoso, E Endryansyah","J. Pendidik. Tek. Elektro 5 (3), 673-679, 2016",2016,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:W7OEmFMy1HYC
Endryansyah,9BWyE0UAAAAJ,Implementasi Pengendalian Kecepatan Brushless Motor DC Menggunakan Logika Fuzzy Berbasis Gui Labview 2014,JT Sibuea,"Jurnal Teknik Elektro 7, 2018",2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:u5HHmVD_uO8C
Pradini Puspitaningayu,A9L19RMAAAAJ,An investigation of fingerprint-based room detection method using IEEE 802.15. 4 wireless network,"P PUSPITANINGAYU, N FUNABIKI, SR WIDYATRA, M KURIBAYASHI","電子情報通信学会技術研究報告 (Web) 120 (69 (NS2020 22-30)), 49-54, 2020",2020,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:LkGwnXOMwfcC
Pradini Puspitaningayu,A9L19RMAAAAJ,Accuracy investigations of fingerprint-based indoor localization system using ieee 802.15. 4 in two-floor environment,"P Puspitaningayu, N Funabiki, Y Huo, Y Panduman, X Wu, M Kuribayashi, ...","2022 Fifth International Conference on Vocational Education and Electrical …, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:YOwf2qJgpHMC
Pradini Puspitaningayu,A9L19RMAAAAJ,Design and implementation of 2-DOF arm manipulator robot as robotic kinematic learning platform,"PD Widayaka, P Puspitaningayu, SA Alamsyah, RF Muktiadji, A Widodo, ...","2023 Sixth International Conference on Vocational Education and Electrical …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:Wp0gIr-vW9MC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Web Pada Uji Kompetensi Skema Sertifikasi Teknisi Muda Jaringan Komputer,"KM Yulianta, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 4 (01), 2019",2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:aqlVkmm33-oC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Web Pada Uji Kompetensi Skema Sertifikasi Teknisi Muda Jaringan Komputer,"KM YULIANTA, Y ANISTYASARI","IT-Edu: Jurnal Information Technology and Education 4 (01), 2019",2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:e5wmG9Sq2KIC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Web Pada Uji Kompetensi Skema Sertifikasi Teknisi Muda Jaringan Komputer,"KM Yulianta, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 4 (01), 2019",2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:r0BpntZqJG4C
Ulfa Siti Nuraini,q-sbahIAAAAJ,Uncovering Key Topics in Indonesian Political Discourse Through Twitter Analysis After the 2024 Presidential Inauguration Using Clustering methods,"S Hidayatullah, US Nuraini","INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi …, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q-sbahIAAAAJ&pagesize=100&citation_for_view=q-sbahIAAAAJ:W7OEmFMy1HYC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,Utilizing Usability Testing for User Interface Improvement: Case Study on Unesa’s Academic Mobile Application,"FN Shinta, VP Putra, DF Rashidan, MZ Athallah, FQ Annisa, IF Kurniawan","2024 Seventh International Conference on Vocational Education and Electrical …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:ULOm3_A8WrAC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Web Pada Uji Kompetensi Skema Sertifikasi Teknisi Muda Jaringan Komputer,"KM Yulianta, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 4 (01), 2019",2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:blknAaTinKkC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR MONITORING TOOL KEAKTIFAN SISWA DALAM PROBLEM BASED LEARNING KHUSUS UNTUK PEMBELAJARAN ONLINE,"A Fatimah, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 380-388, 2020",2020,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:RGFaLdJalmkC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR METODE PENGENALAN WAJAH UNTUK PRESENSI SISWA,"P Julianti, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 503-511, 2020",2020,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:lSLTfruPkqcC
Yeni Anistyasari,IJIEntMAAAAJ,An intelligent scoring method for a creative thinking test,"Y Anistyasari, Ekohariadi, I Buditjahjanto, SC & Hidayati","World Transactions on Engineering and Technology Education 19 (4), 352-357, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:ZHo1McVdvXMC
Yeni Anistyasari,IJIEntMAAAAJ,Tinjauan Pustaka Sistematis tentang Efektivitas Pembelajaran Group Discussion Online Terhadap Kemampuan Perkembangan Nalar Siswa,"RAA Sugiharto, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 6 (2), 165-169, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:3s1wT3WcHBgC
Yeni Anistyasari,IJIEntMAAAAJ,PELATIHAN PEMANFAATAN MARKET PLACE SEBAGAI MEDIA PEMASARAN PADA INDUSTRI KECIL MENENGAH DI SIDOARJO,"Y Anistyasari, A Kurniawan, AW Utami","Journal of Vocational and Technical Education (JVTE) 3 (2), 33-39, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:M05iB0D1s5AC
Rifqi Abdillah,S2oIBtYAAAAJ,Comparison of Machine Learning Methods for Air Quality Prediction Based on Particulate Matter (PM2. 5),"F Mar'i, S Marianingsih, R Abdillah, EA Elfaiz, RAS Prayoga, M Fahmi","2025 International Conference on Advancement in Data Science, E-learning and …, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S2oIBtYAAAAJ&pagesize=100&citation_for_view=S2oIBtYAAAAJ:W7OEmFMy1HYC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,PENGGUNAAN APLIKASI REKAP SURAT BERBASIS DESKTOP DI PMI KOTA MALANG,"RAS Prayoga, AS Mubarok","Aptekmas Jurnal Pengabdian pada Masyarakat 4 (3), 60-64, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:IjCSPb-OGe4C
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,"Socialization and Assistance in the Implementation of Social Assistance for the Dalegan Village Community, Gresik Regency","T Kristanto, W Rochmah, R Prayoga, T Mustaqim, M Kamal, M Sholik, ...","JUMADI: Jurnal Masyarakat Mengabdi 1, 55-61, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:TQgYirikUcIC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Developing a profile website for mosque Qori and Imam as a medium for Da'wah,"AR Putra, R Abdilah, RAS Prayoga, MI Khoirudin, M Taufikurrahaman, ...","Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang 9 (1), 65-76, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:YOwf2qJgpHMC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Penerapan Data Mining untuk Peminjaman Buku dengan Menggunakan Algoritma Apriori,"RA PRAYOGA, R Basatha, MS Akbar, EA Elfaiz, CD Putra","Jurnal Ilmu Komputer dan Multimedia 1 (2), 1-6, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:mVmsd5A6BfQC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Early detection of diabetes mellitus using statistical texture feature in finger nail image,"I Kurniastuti, A Andini, P Nerisafitra","YOUNG SCHOLAR SYMPOSIUM ON SCIENCE AND MATHEMATICS EDUCATION, AND …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:3fE2CSJIrl8C
Paramitha Nerisafitra,Em3aIV0AAAAJ,Implementation of SDG 9: Innovation in the Indonesian Batik Industry Through Business Digitalisation,"R Putra, P Nerisafitra, A Abidin","Journal of Lifestyle and SDGs Review 5 (2), e03433-e03433, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:QIV2ME_5wuYC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Penerapan Payment Gateway Menggunakan Metode Webhook Dalam Pengembangan Bot Reservasi Jiot Gadget Solution,"MA Akbar, P Nerisafitra","Journal of Informatics and Computer Science (JINACS), 932-947, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:L8Ckcad2t8MC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Eksplorasi Teknik Berbasis K-Means Clustering Untuk Penilaian Prestasi Siswa,"H Gunandaru, P Nerisafitra","Journal of Informatics and Computer Science (JINACS), 1076-1082, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:IWHjjKOFINEC
Rifqi Abdillah,S2oIBtYAAAAJ,Design and implementation of 2-DOF arm manipulator robot as robotic kinematic learning platform,"PD Widayaka, P Puspitaningayu, SA Alamsyah, RF Muktiadji, A Widodo, ...","2023 Sixth International Conference on Vocational Education and Electrical …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S2oIBtYAAAAJ&pagesize=100&citation_for_view=S2oIBtYAAAAJ:qjMakFHDy7sC
Ike Fitriyaningsih,wEGsLv4AAAAJ,An empirical evaluation of phrase-based statistical machine translation for Indonesia slang-word translator,"KC Eleison, SUI Hutahaean, SC Tampubolon, TM Panggabean, ...","Indonesian Journal of Electrical Engineering and Computer Science 3 (3 …, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wEGsLv4AAAAJ&pagesize=100&citation_for_view=wEGsLv4AAAAJ:YsMSGLbcyi4C
Harmon Prayogi,RNJ3vNQAAAAJ,Analisa Perhitungan Analitik dan Data Eksperimen Parameter Gelombang pada Wave Flume dengan Wavemaker Tipe Piston,"A Satriadi, S Widada, H Prayogi","Jurnal Kelautan Tropis 20 (1), 30-34, 2017",2017,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNJ3vNQAAAAJ&pagesize=100&citation_for_view=RNJ3vNQAAAAJ:ufrVoPGSRksC
Harmon Prayogi,RNJ3vNQAAAAJ,"Quantum-based first-principles study of gas molecules (O, CO, NO) interaction on monolayer germanene","A Hermanto, H Prayogi, AD Nugraheni, J Partini, S Sholihun","Journal of Metals, Materials and Minerals 33 (4), 1711-1711, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNJ3vNQAAAAJ&pagesize=100&citation_for_view=RNJ3vNQAAAAJ:UeHWp8X0CEIC
Harmon Prayogi,RNJ3vNQAAAAJ,"First-principles density functional theory for the structural, electronic, and phonon calculations of Ca-doped bilayer graphene","P Nurwantoro, S Yunitasari, H Prayogi, S Hidayati, S Sholihun","International Journal of Computational Materials Science and Engineering …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNJ3vNQAAAAJ&pagesize=100&citation_for_view=RNJ3vNQAAAAJ:zYLM7Y9cAGgC
Moh. Khoridatul Huda,b4_EdJYAAAAJ,Sistem Inventory,"R Destriana, A Hadi, K Huda, I Jaya, E Mulyati, RR Rahayu, S Lestari, ...","Penamuda Media 1 (4), xii+ 226-xii+ 226, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b4_EdJYAAAAJ&pagesize=100&citation_for_view=b4_EdJYAAAAJ:Y0pCki6q_DkC
Miftahur Rohman,TB0QfMoAAAAJ,Teknik Kompresi Citra Menggunakan Metode Vektor Kuantisasi Berbasis Fuzzy C-Means,"M Rohman, I Anisah","Surabaya: Seminar Nasional Informatika (SANTIKA) UPN JATIM 2013, http …, 2013",2013,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TB0QfMoAAAAJ&pagesize=100&citation_for_view=TB0QfMoAAAAJ:u5HHmVD_uO8C
Yeni Anistyasari,IJIEntMAAAAJ,Adaptive Skin Color Model for Clothing Genre Recognition via Particle Swarm Optimization,"SC Hidayati, EN Jannah, Y Anistyasari","2021 13th International Conference on Information & Communication Technology …, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:HoB7MX3m0LUC
Yeni Anistyasari,IJIEntMAAAAJ,The impact of motivation and cognitive ability on interface design skills,"R Harimurti, Y Anistyasari, SM Sondang, A Qoiriah","World Transactions on Engineering and Technology Education 20 (3), 157-162, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:Tiz5es2fbqcC
Yeni Anistyasari,IJIEntMAAAAJ,Maximum excess over sub-arrays distance to assess creative thinking,"Y Anistyasari, E Ekohariadi, I Buditjahjanto, B Yulianto, S Suprapto, ...","AIP Conference Proceedings 2646 (1), 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:NhqRSupF_l8C
Yeni Anistyasari,IJIEntMAAAAJ,Automatic Programming Assessment to Measure Programming Problem-Solving Skills,"R Harimurti, Y Anistyasari, P Rusimamto, S Haryudo","Proceedings of the 4th Annual Conference of Engineering and Implementation …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:xtRiw3GOFMkC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Game Untuk Materi Relational Database Management System Pada Mata Pelajaran Basis Data Di Sekolah Menengah Kejuruan,"UI Setianingrum, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 3 (01), 2018",2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:0EnyYjriUFMC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Berbasis Web Untuk Pembelajaran Berbasis Proyek Dalam Meningkatkan Hasil Belajar Dan Keterampilan Kolaboratif,"FA Ramadhani, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 9 (2), 81-87, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:B3FOqHPlNUQC
Yeni Anistyasari,IJIEntMAAAAJ,A Novel Stacking Ensemble Learning Approach for Emotion Detection in Audio-to-Text Transcriptions,"SC Hidayati, M Subhan, Y Anistyasari","2024 International Seminar on Intelligent Technology and Its Applications …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:VOx2b1Wkg3QC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Interaktif Berbasis Website Menggunakan Framework Codeigniter Untuk Meningkatkan Hasil Belajar Siswa Pada Mata Pelajaran Komputer Dan Jaringan Dasar,"JOGS Hutarabat, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 9 (2), 172-180, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:5Ul4iDaHHb8C
Yeni Anistyasari,IJIEntMAAAAJ,A Tree-Based Model for Predicting Student Achievement in Online Learning Environments,"Y Anistyasari, SC Hidayati","2024 Seventh International Conference on Vocational Education and Electrical …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:J-pR_7NvFogC
Yeni Anistyasari,IJIEntMAAAAJ,Assisting Neurosurgeons: Advancing Brain Tumor Surgery with Smartphone Augmented Reality Navigation,"MI Java, SC Hidayati, R Sarno, Y Anistyasari, K Ali","2024 International Conference on Innovation and Intelligence for Informatics …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:wbdj-CoPYUoC
Yeni Anistyasari,IJIEntMAAAAJ,Rancang Bangun Media Pembelajaran Berbasis Website Menggunakan Model PjBL Untuk Meningkatkan Kompetensi Dasar Jaringan Komputer Siswa Kelas X TKJ (Studi Kasus: Di SMK Negeri 1 …,"MI Baigofik, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 9 (3), 48-55, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:q3oQSFYPqjQC
Yeni Anistyasari,IJIEntMAAAAJ,PELATIHAN PENYUSUNAN BUTIR SOAL UNTUK GURU-GURU SEKOLAH INDONESIA DI KUALA LUMPUR,"Y Anistyasari, A Wardhono","PROFICIO 6 (1), 926-934, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:V3AGJWp-ZtQC
Endryansyah,9BWyE0UAAAAJ,Desain Sistem Pengaturan Sudut Aero Pendulum Menggunakan Adaptive Neuro Fuzzy Inference System (ANFIS) Berbasis MATLAB,"AT Prasetyo, B Suprianto, PW Rusimamto","JURNAL TEKNIK ELEKTRO 10 (2), 387-395, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:HDshCWvjkbEC
