Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"Body mass index, physical activity, and physical fitness of adolescence","Dewi, R.C.| Rimawati, N.| Purbodjati","3","57204963889| 57223340665| 57223343439","2021","2021-01-01","Journal of Public Health Research","10","2","-","2230","ISSN-22799028","21100790524","Journal","English","0.75","47","1.7","66","0.429","57","1.03","27","43","3.31","10.26","7","6","0","0","Dewi, R.C., Rimawati, N., Purbodjati (2021).Body mass index, physical activity, and physical fitness of adolescence. Journal of Public Health Research,10(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85105629099&origin=resultslist","10.4081/jphr.2021.2230","Article","Gold|Green","2-s2.0-85105629099","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57204963889","57223343439","57204963889","-","Indonesia","1","2739","Public Health, Environmental and Occupational Health","5","Life Sciences & Medicine","532","Medicine","34","Medical and Health","42","Health Sciences","4206","Public health","SDG 3","Physical Activity and Motor Skills in Children","742","77.371","Adolescent Fitness and Health Outcomes","6179","95.193","Defensible"
"Analysis of perceived usefulness, perceived ease of use, and perceived risk toward online shopping in the era of Covid-19 pandemic","Iriani, S.S.| Andjarwati, A.L.","2","57200565279| 57210882993","2020","2020-01-01","Systematic Reviews in Pharmacy","11","12","313-320","-","ISSN-09758453","19700201140","Journal","English","9.02","1","-","-","-","-","4.05","116","43","1.58","10.11","9","17","0","0","Iriani, S.S., Andjarwati, A.L. (2020).Analysis of perceived usefulness, perceived ease of use, and perceived risk toward online shopping in the era of Covid-19 pandemic. Systematic Reviews in Pharmacy,11(12) 313-320","https://www.scopus.com/record/display.url?eid=2-s2.0-85091230228&origin=resultslist","10.31838/srp.2020.12.50","Article","","2-s2.0-85091230228","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57200565279","57210882993","-","-","Indonesia","1","3003","Pharmaceutical Science","5","Life Sciences & Medicine","537","Pharmacy & Pharmacology","34","Medical and Health","32","Biomedical And Clinical Sciences","3214","Pharmacology and pharmaceutical sciences","SDG 3","Influence of Technology on Consumer Behavior","86","99.411","Perceived Risk in Online Shopping Behavior","19761","91.296","Defensible"
"In Silico Screening of Bioactive Compounds from Syzygium cumini L. and Moringa oleifera L. Against SARS-CoV-2 via Tetra Inhibitors","Aini, N.S.| Kharisma, V.D.| Widyananda, M.H.| Murtadlo, A.A.A.| Probojati, R.T.| Turista, D.D.R.| Tamam, M.B.| Jakhmola, V.| Sari, D.P.| Albari, M.T.| Pernamasari, D.| Ghifari, M.A.| Ghifari, M.R.| Mandeli, R.S.| Muhardi| Oktavia, B.| Sari, T.K.| Sriwahyuni, T.| Azhari, P.| Maahury, M.F.| Ansori, A.N.M.| Zainul, R.","22","57810983700| 57204628128| 57218510836| 57221725319| 57219931086| 57217389770| 57208204660| 36100373900| 57192115117| 57884649800| 57884150000| 58084551200| 57216500748| 57546996000| 57224230825| 25650002500| 56589693900| 57003360600| 57884895600| 57215414415| 57195995342| 56737195700","2022","2022-07-01","Pharmacognosy Journal","14","4","267-272","-","ISSN-09753575","19700175096","Journal","English","0.51","63","1.9","73","0.229","75","3.78","63","41","4.13","9.94","5","4","0","0","Aini, N.S., Kharisma, V.D., Widyananda, M.H. and 19 more (...) (2022).In Silico Screening of Bioactive Compounds from Syzygium cumini L. and Moringa oleifera L. Against SARS-CoV-2 via Tetra Inhibitors. Pharmacognosy Journal,14(4) 267-272","https://www.scopus.com/record/display.url?eid=2-s2.0-85137693110&origin=resultslist","10.5530/pj.2022.14.95","Article","Gold","2-s2.0-85137693110","-","Brawijaya University| State University of Padang| Uttaranchal University| Mulawarman University| Universitas Andalas| Universitas Negeri Surabaya","6","60105082| 122481246| 60069392| 120606203| 60069411| 60268852| 60115862| 60105184| 125221095| 122423824| 60069403| 60069443| 126223882","Universitas Negeri Surabaya| Generasi Biologi Indonesia Foundation| Brawijaya University| Universitas Kadiri| Universitas Mulawarman| Universitas Muhammadiyah Lamongan| Uttaranchal University| Universitas Negeri Padang| Universitas Awal Bros| STMIK Hang Tuah Pekanbaru| Universitas Andalas| Universitas Pattimura| Professor Nidom Foundation","57810983700","56737195700","56737195700","-","Indonesia| India","2","3002| 3004","Drug Discovery| Pharmacology","5","Life Sciences & Medicine","537","Pharmacy & Pharmacology","34","Medical and Health","32| 42","Biomedical And Clinical Sciences| Health Sciences","4208| 3214","Traditional, complementary and integrative medicine| Pharmacology and pharmaceutical sciences","SDG 3","COVID-19, Its Impact, and Vaccination","1","99.935","Antiviral Compounds Against SARS Coronavirus","90200","75.929","Definitive"
"Indonesian curriculum reform in policy and local wisdom: Perspectives from science education","Suprapto, N.| Prahani, B.K.| Cheng, T.H.","3","57163917500| 57207944019| 57223623237","2021","2021-03-01","Jurnal Pendidikan IPA Indonesia","10","1","69-80","-","ISSN-23391286","21100823999","Journal","English","1.72","10","3.3","23","0.458","43","4.53","170","41","3.77","7.95","7","5","0","0","Suprapto, N., Prahani, B.K., Cheng, T.H. (2021).Indonesian curriculum reform in policy and local wisdom: Perspectives from science education. Jurnal Pendidikan IPA Indonesia,10(1) 69-80","https://www.scopus.com/record/display.url?eid=2-s2.0-85105945348&origin=resultslist","10.15294/jpii.v10i1.28438","Article","Gold","2-s2.0-85105945348","-","National Dong Hwa University| Universitas Negeri Surabaya","2","60105082| 60011975","Universitas Negeri Surabaya| National Dong Hwa University","57163917500","57223623237","57163917500","-","Indonesia| Taiwan","2","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","40| 39| 51","Engineering| Education| Physical Sciences","3903| 5199| 4010","Education systems| Other physical sciences| Engineering practice and education","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Integrating Local Wisdom in Science Education","25275","76.85","Very Good"
"Covid Symptom Severity Using Decision Tree","Rochmawati, N.| Hidayati, H.B.| Yamasari, Y.| Yustanti, W.| Rakhmawati, L.| Tjahyaningtijas, H.P.A.| Anistyasari, Y.","7","57195258934| 57194159504| 57193733535| 57200569216| 57200562830| 58028094300| 53263227700","2020","2020-10-03","Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020","-","-","-","9243246","-","21101028410","Conference Proceeding","English","-","-","-","-","-","-","0.82","17","41","6.58","5.47","10","2","0","0","Rochmawati, N., Hidayati, H.B., Yamasari, Y. and 4 more (...) (2020).Covid Symptom Severity Using Decision Tree. Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020,","https://www.scopus.com/record/display.url?eid=2-s2.0-85096704704&origin=resultslist","10.1109/ICVEE50212.2020.9243246","Conference Paper","Bronze","2-s2.0-85096704704","-","Universitas Airlangga| Universitas Negeri Surabaya","2","60069383| 60105082","Universitas Airlangga| Universitas Negeri Surabaya","57195258934","53263227700","-","-","Indonesia","1","1708| 1710| 2208| 3304","Hardware and Architecture| Information Systems| Electrical and Electronic Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","212| 249| 318| 221","Computer Science & Information Systems| Engineering - Petroleum| Education & Training| Engineering - Electrical & Electronic","38| 41| 36","Computer Science| Education Studies| Engineering","40| 51","Engineering| Physical Sciences","5199| 4008| 4009","Other physical sciences| Electrical engineering| Electronics, sensors and digital hardware","SDG 3","COVID-19, Its Impact, and Vaccination","1","99.935","Machine Learning Models for COVID-19 Prediction","21265","92.172","Defensible"
"The tawock conceptual model at content knowledge for professional teaching in vocational education","Arifin, Z.| Nurtanto, M.| Warju, W.| Rabiman, R.| Kholifah, N.","5","58852377400| 57205063285| 57200563821| 57209463823| 57200557180","2020","2020-01-01","International Journal of Evaluation and Research in Education","9","3","697-703","-","ISSN-22528822","21100934092","Journal","English","0.66","53","0.9","65","0.199","76","1.27","52","38","3.14","7.64","11","6","0","0","Arifin, Z., Nurtanto, M., Warju, W. and 2 more (...) (2020).The tawock conceptual model at content knowledge for professional teaching in vocational education. International Journal of Evaluation and Research in Education,9(3) 697-703","https://www.scopus.com/record/display.url?eid=2-s2.0-85088515708&origin=resultslist","10.11591/ijere.v9i3.20561","Article","Gold","2-s2.0-85088515708","-","Yogyakarta State University| Universitas Negeri Surabaya| Sultan Ageng Tirtayasa University","3","60087601| 60109646| 60105082| 60110860","Universitas Negeri Yogyakarta| Universitas Sultan Ageng Tirtayasa| Universitas Negeri Surabaya| Universitas Sarjanawiyata Tamansiswa","58852377400","57200557180","57205063285","-","Indonesia","1","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","39| 51","Education| Physical Sciences","3902| 3903| 5199","Education policy, sociology and philosophy| Education systems| Other physical sciences","-","Gamification and Interactive Learning in Education","423","90.32","Interactive Multimedia and Learning Analytics in Education","28119","70.146","Defensible"
"The maturity levels of the digital technology competence in vocational education","Astuti, M.| Arifin, Z.| Nurtanto, M.| Mutohhari, F.| Warju, W.","5","57699103000| 58852377400| 57205063285| 57391573900| 57200563821","2022","2022-06-01","International Journal of Evaluation and Research in Education","11","2","596-603","-","ISSN-22528822","21100934092","Journal","English","0.84","40","2.1","47","0.308","59","3.09","99","38","5.11","7.44","5","3","0","0","Astuti, M., Arifin, Z., Nurtanto, M. and 2 more (...) (2022).The maturity levels of the digital technology competence in vocational education. International Journal of Evaluation and Research in Education,11(2) 596-603","https://www.scopus.com/record/display.url?eid=2-s2.0-85130350964&origin=resultslist","10.11591/ijere.v11i2.22258","Article","Gold","2-s2.0-85130350964","-","Yogyakarta State University| Universitas Negeri Surabaya| Sultan Ageng Tirtayasa University","3","60087601| 60109646| 60105082","Universitas Negeri Yogyakarta| Universitas Sultan Ageng Tirtayasa| Universitas Negeri Surabaya","57699103000","57200563821","58852377400","-","Indonesia","1","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","51| 39","Physical Sciences| Education","3902| 5199| 3903","Education policy, sociology and philosophy| Other physical sciences| Education systems","-","Gamification and Interactive Learning in Education","423","90.32","Interactive Multimedia and Learning Analytics in Education","28119","70.146","Defensible"
"Modeling the Interplay of Indonesian and Iranian EFL Teachers’ Apprehension, Resilience, Organizational Mattering, and Psychological Well-being","Derakhshan, A.| Setiawan, S.| Ghafouri, M.","3","56167404800| 57212529080| 57907541300","2024","2024-01-01","Iranian Journal of Language Teaching Research","12","1","21-43","-","ISSN-23221291","21100447114","Journal","English","1.16","22","4.6","6","0.574","15","1.54","19","37","20.12","1.84","1","1","0","0","Derakhshan, A., Setiawan, S., Ghafouri, M. (2024).Modeling the Interplay of Indonesian and Iranian EFL Teachers’ Apprehension, Resilience, Organizational Mattering, and Psychological Well-being. Iranian Journal of Language Teaching Research,12(1) 21-43","https://www.scopus.com/record/display.url?eid=2-s2.0-85189160399&origin=resultslist","10.30466/IJLTR.2024.121416","Article","","2-s2.0-85189160399","-","Guilan University| Universitas Negeri Surabaya| Golestan University","3","60109911| 60105082| 60025948","Golestan University| Universitas Negeri Surabaya| University of Guilan","56167404800","57907541300","56167404800","-","Indonesia| Iran","2","1203| 3304| 3310","Language and Linguistics| Education| Linguistics and Language","3| 1","Social Sciences & Management| Arts & Humanities","318| 130","Education & Training| Linguistics","41| 33","Education Studies| Arts and Humanities","39| 44| 47","Education| Human Society| Language, Communication And Culture","4401| 3903| 4703","Anthropology| Education systems| Language studies","-","Integrating Language Learning and Cultural Competence","283","89.666","Emotional Dynamics in Foreign Language Learning","6803","99.256","Definitive"
"Heterogeneous deacetylation reaction of chitin under low-frequency ultrasonic irradiation","Wardhono, E.Y.| Pinem, M.P.| Kustiningsih, I.| Effendy, M.| Clausse, D.| Saleh, K.| Guénin, E.","7","55977406500| 57207645776| 56304204400| 55918965600| 55893523400| 7102646826| 6602632219","2021","2021-09-01","Carbohydrate Polymers","267","-","-","118180","ISSN-01448617","25801","Journal","English","1.78","9","16","2","1.612","4","1.44","36","37","2.18","12.87","8","11","0","0","Wardhono, E.Y., Pinem, M.P., Kustiningsih, I. and 4 more (...) (2021).Heterogeneous deacetylation reaction of chitin under low-frequency ultrasonic irradiation. Carbohydrate Polymers,267","https://www.scopus.com/record/display.url?eid=2-s2.0-85105880442&origin=resultslist","10.1016/j.carbpol.2021.118180","Article","","2-s2.0-85105880442","34119148","Université de technologie de Compiègne| Sorbonne Université| École supérieure de chimie organique et minérale| Universitas Negeri Surabaya| Sultan Ageng Tirtayasa University","5","60109646| 60105082| 60001422| 60160768| 60017848","Universitas Sultan Ageng Tirtayasa| Universitas Negeri Surabaya| Sorbonne Université| TIMR – Transformation Intégrée de la Matière Renouvelable| Université de Technologie de Compiègne","55977406500","6602632219","55977406500","-","Indonesia| France","2","1605| 2505| 2507","Organic Chemistry| Materials Chemistry| Polymers and Plastics","4| 2","Natural Sciences| Engineering & Technology","433| 409| 249","Materials Science| Chemistry| Engineering - Petroleum","36| 37","Engineering| Physical Sciences","31| 40| 30","Biological Sciences| Engineering| Agricultural, Veterinary And Food Sciences","3101| 4004| 3006","Biochemistry and cell biology| Chemical engineering| Food sciences","-","Chitosan Applications in Health and Food Packaging","881","93.656","Chitin and Chitosan: Sustainable Biopolymer Applications","6238","99.097","Very Good"
"Optimization of PID parameters for controlling DC motor based on the aquila optimizer algorithm","Aribowo, W.| Supari| Suprianto, B.","3","57216862548| 59980002700| 8215287000","2022","2022-03-01","International Journal of Power Electronics and Drive Systems","13","1","216-222","-","ISSN-20888694","21100258382","Journal","English","0.74","46","3.5","45","0.35","55","3.43","71","36","2.44","14.74","6","10","0","0","Aribowo, W., Supari, Suprianto, B. (2022).Optimization of PID parameters for controlling DC motor based on the aquila optimizer algorithm. International Journal of Power Electronics and Drive Systems,13(1) 216-222","https://www.scopus.com/record/display.url?eid=2-s2.0-85124887881&origin=resultslist","10.11591/ijpeds.v13.i1.pp216-222","Article","Gold","2-s2.0-85124887881","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57216862548","8215287000","57216862548","-","Indonesia","1","2102| 2208","Energy Engineering and Power Technology| Electrical and Electronic Engineering","2","Engineering & Technology","221| 249","Engineering - Electrical & Electronic| Engineering - Petroleum","36","Engineering","40","Engineering","4017| 4009| 4008","Mechanical engineering| Electronics, sensors and digital hardware| Electrical engineering","-","Optimization Algorithms in Multi-Objective Systems","24","95.356","Optimization Techniques for Voltage Regulator Control","40849","93.666","Defensible"
"Multimedia-Assisted Learning in a Flipped Classroom: A Case Study of Autonomous Learning on EFL University Students","Aprianto, E.| Purwati, O.| Anam, S.","3","57216160724| 57212526434| 57189365383","2020","2020-01-01","International Journal of Emerging Technologies in Learning","15","24","114-127","-","ISSN-18688799","21100197967","Journal","English","1.3","19","2.6","26","0.454","29","1.96","77","35","2.72","8.44","12","8","0","0","Aprianto, E., Purwati, O., Anam, S. (2020).Multimedia-Assisted Learning in a Flipped Classroom: A Case Study of Autonomous Learning on EFL University Students. International Journal of Emerging Technologies in Learning,15(24) 114-127","https://www.scopus.com/record/display.url?eid=2-s2.0-85099990424&origin=resultslist","10.3991/ijet.v15i24.14017","Article","Gold","2-s2.0-85099990424","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57216160724","57189365383","57216160724","-","Indonesia","1","2200| 3304","General Engineering| Education","2| 3","Engineering & Technology| Social Sciences & Management","318","Education & Training","36| 41","Engineering| Education Studies","39","Education","3904","Specialist studies in education","SDG 4","Innovative Approaches in Medical Education and Learning","968","61.543","Flipped Classroom Models in Higher Education","817","99.299","Very Good"
"Autonomous Robotic in Agriculture: A Review","Rahmadian, R.| Widyartono, M.","2","57201853815| 57201863232","2020","2020-10-03","Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020","-","-","-","9243253","-","21101028410","Conference Proceeding","English","-","-","-","-","-","-","3.27","50","34","2.74","5.47","12","8","1","0","Rahmadian, R., Widyartono, M. (2020).Autonomous Robotic in Agriculture: A Review. Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020,","https://www.scopus.com/record/display.url?eid=2-s2.0-85096641143&origin=resultslist","10.1109/ICVEE50212.2020.9243253","Conference Paper","","2-s2.0-85096641143","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57201853815","57201863232","-","-","Indonesia","1","1708| 1710| 2208| 3304","Hardware and Architecture| Information Systems| Electrical and Electronic Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","249| 318| 221| 212","Engineering - Petroleum| Education & Training| Engineering - Electrical & Electronic| Computer Science & Information Systems","36| 41| 38","Engineering| Education Studies| Computer Science","40| 51","Engineering| Physical Sciences","4009| 5199| 4008","Electronics, sensors and digital hardware| Other physical sciences| Electrical engineering","SDG 2","Precision Agriculture through Robotics and Navigation","1271","47.874","Autonomous Navigation Systems in Agricultural Robotics","6120","97.679","Very Good"
"Exploring the potential of graphene materials in marine and shipping industries – A technical review for prospective application on ship operation and material-structure aspects","Smaradhana, D.F.| Prabowo, A.R.| Ganda, A.N.F.","3","57163733200| 57189896735| 57202925442","2021","2021-09-01","Journal of Ocean Engineering and Science","6","3","299-316","-","ISSN-24680133","21100981758","Journal","English","1.57","13","5.4","16","0.534","40","1.49","66","34","1.11","27.01","9","26","0","0","Smaradhana, D.F., Prabowo, A.R., Ganda, A.N.F. (2021).Exploring the potential of graphene materials in marine and shipping industries – A technical review for prospective application on ship operation and material-structure aspects. Journal of Ocean Engineering and Science,6(3) 299-316","https://www.scopus.com/record/display.url?eid=2-s2.0-85111517923&origin=resultslist","10.1016/j.joes.2021.02.004","Review","Gold","2-s2.0-85111517923","-","Imperial College London| Universitas Sebelas Maret| Universitas Negeri Surabaya","3","60069439| 60015150| 60105082","Universitas Sebelas Maret| Imperial College London| Universitas Negeri Surabaya","57163733200","57202925442","57189896735","-","Indonesia| United Kingdom","2","1910| 2212| 2305","Oceanography| Ocean Engineering| Environmental Engineering","2| 4","Engineering & Technology| Natural Sciences","424| 247| 450| 249| 416| 451","Environmental Sciences| Engineering - Mineral & Mining| Geology| Engineering - Petroleum| Earth & Marine Sciences| Geophysics","37| 36","Physical Sciences| Engineering","40","Engineering","4015","Maritime engineering","-","Hydrogen Bonding and Complexation in Crystalline Structures","7","70.569","Benzothiazine Derivatives and Their Analgesic Properties","44581","4.965","Definitive"
"Content validity of the HIIT training program in special preparations to improve the dominant biomotor components of Kumite athletes","Yudhistira, D.| Suherman, W.S.| Wiratama, A.| Wijaya, U.K.| Paryadi| Faruk, M.| Hadi, H.| Siregar, S.| Jufrianis| Pratama, K.W.","10","57219264926| 57211289536| 57846892100| 57845774200| 58102146000| 57218564673| 57845560300| 57211562309| 57214082557| 57218118750","2021","2021-09-01","International Journal of Human Movement and Sports Sciences","9","5","1051-1057","-","ISSN-23814381","21100934237","Journal","English","0.35","74","1.2","63","0.378","51","2.5","50","34","3.77","8.76","9","5","0","0","Yudhistira, D., Suherman, W.S., Wiratama, A. and 7 more (...) (2021).Content validity of the HIIT training program in special preparations to improve the dominant biomotor components of Kumite athletes. International Journal of Human Movement and Sports Sciences,9(5) 1051-1057","https://www.scopus.com/record/display.url?eid=2-s2.0-85128455599&origin=resultslist","10.13189/SAJ.2021.090527","Article","Gold","2-s2.0-85128455599","-","Yogyakarta State University| Mulawarman University| State University of Medan| Universitas Negeri Surabaya| State University of Jakarta","5","60087601| 60105171| 60069411| 60105082| 60108701| 60110725| 127030272| 127029871","Universitas Negeri Yogyakarta| Universitas Negeri Jakarta| Universitas Mulawarman| Universitas Negeri Surabaya| Universitas Persatuan Guru Republik Indonesia Semarang| Universitas Negeri Medan| Universitas Pahlawan Tuanku Tambusai| Institute of Advanced Science","57219264926","57218118750","57219264926","-","Indonesia| Malaysia","2","1314| 2732| 3306| 3612","Physiology| Orthopedics and Sports Medicine| Health (social science)| Physical Therapy, Sports Therapy and Rehabilitation","5| 3","Life Sciences & Medicine| Social Sciences & Management","532| 343| 503","Medicine| Sports-related Subjects| Anatomy & Physiology","34| 40| 32","Medical and Health| Social Sciences| Life Sciences","39| 51| 42","Education| Physical Sciences| Health Sciences","4207| 5199| 3903","Sports science and exercise| Other physical sciences| Education systems","-","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","Agility and Performance in Football Training","32417","92.091","Defensible"
"The effectiveness of gadget-based interactive multimedia in improving generation z’s scientific literacy","Widodo, W.| Sudibyo, E.| Suryanti| Sari, D.A.P.| Inzanah| Setiawan, B.","6","57191165275| 57202548662| 57205027780| 57196085172| 57217354161| 57195054152","2020","2020-06-01","Jurnal Pendidikan IPA Indonesia","9","2","248-256","-","ISSN-23391286","21100823999","Journal","English","2.4","4","3.5","15","0.493","41","1.87","80","33","2.49","7.64","13","9","0","0","Widodo, W., Sudibyo, E., Suryanti and 3 more (...) (2020).The effectiveness of gadget-based interactive multimedia in improving generation z’s scientific literacy. Jurnal Pendidikan IPA Indonesia,9(2) 248-256","https://www.scopus.com/record/display.url?eid=2-s2.0-85087129021&origin=resultslist","10.15294/jpii.v9i2.23208","Article","Gold","2-s2.0-85087129021","-","Universitas Negeri Surabaya| National Dong Hwa University","2","60105082| 60011975","Universitas Negeri Surabaya| National Dong Hwa University","57191165275","57195054152","57191165275","-","Taiwan| Indonesia","2","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","40| 39| 51","Engineering| Education| Physical Sciences","5199| 4010| 3903","Other physical sciences| Engineering practice and education| Education systems","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Integrating Local Wisdom in Science Education","25275","76.85","Weak"
"Mind mapping in learning models: A tool to improve student metacognitive skills","Astriani, D.| Susilo, H.| Suwono, H.| Lukiati, B.| Purnomo, A.R.","5","57200101039| 57133003100| 57190285642| 57194450737| 57193791205","2020","2020-01-01","International Journal of Emerging Technologies in Learning","15","6","4-17","-","ISSN-18688799","21100197967","Journal","English","1.3","19","2.6","26","0.454","29","1.77","71","33","2.72","8.44","13","8","0","0","Astriani, D., Susilo, H., Suwono, H. and 2 more (...) (2020).Mind mapping in learning models: A tool to improve student metacognitive skills. International Journal of Emerging Technologies in Learning,15(6) 4-17","https://www.scopus.com/record/display.url?eid=2-s2.0-85086803340&origin=resultslist","10.3991/IJET.V15I06.12657","Article","Gold","2-s2.0-85086803340","-","State University of Malang| Universitas Negeri Surabaya","2","60104775| 60105082","Universitas Negeri Malang| Universitas Negeri Surabaya","57200101039","57193791205","57133003100","-","Indonesia","1","2200| 3304","General Engineering| Education","2| 3","Engineering & Technology| Social Sciences & Management","318","Education & Training","41| 36","Education Studies| Engineering","39","Education","3904","Specialist studies in education","SDG 4","Multimedia Learning Systems and Student Engagement","1216","37.541","Mind Mapping Techniques for Enhanced Learning Outcomes","39424","74.733","Very Good"
"Multiplane Convolutional Neural Network (Mp-CNN) for Alzheimer’s Disease Classification","Angkoso, C.V.| Tjahyaningtijas, H.P.A.| Purnomo, M.H.| Purnama, I.K.E.","4","57191037824| 58028094300| 6602604153| 35794232900","2022","2022-01-01","International Journal of Intelligent Engineering and Systems","15","1","329-340","-","ISSN-2185310X","21100199790","Journal","English","0.56","59","2.5","44","0.303","51","1.01","26","33","2.94","11.24","6","7","0","0","Angkoso, C.V., Tjahyaningtijas, H.P.A., Purnomo, M.H. and 1 more (...) (2022).Multiplane Convolutional Neural Network (Mp-CNN) for Alzheimer’s Disease Classification. International Journal of Intelligent Engineering and Systems,15(1) 329-340","https://www.scopus.com/record/display.url?eid=2-s2.0-85123546916&origin=resultslist","10.22266/IJIES2022.0228.30","Article","Bronze","2-s2.0-85123546916","-","Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya| University of Trunojoyo Madura","3","60070707| 60122051| 60105082","Institut Teknologi Sepuluh Nopember| Universitas Trunojoyo Madura| Universitas Negeri Surabaya","57191037824","35794232900","6602604153","-","Indonesia","1","1700| 2200","General Computer Science| General Engineering","2","Engineering & Technology","212","Computer Science & Information Systems","38| 36","Computer Science| Engineering","46| 40","Information And Computing Sciences| Engineering","-","-","-","Cognitive Impairment and Neuroimaging in Alzheimer's Disease","137","93.329","Machine Learning Approaches for Alzheimer's Disease Classification","3426","99.692","Definitive"
